name	perc_frags	num_frags	num_frags_direct	rank	ncbi_taxon_id	scientific_name
SRR11484381	 96.64	115	85	S	562	                Escherichia coli
SRR8541508	 96.55	140	107	S	562	                Escherichia coli
SRR10257910	 96.27	155	119	S	562	                Escherichia coli
SRR8541387	 95.90	234	203	S	562	                Escherichia coli
SRR11484320	 95.80	114	85	S	562	                Escherichia coli
MVC715	 95.71	134	113	S	562	                Escherichia coli
SRR3993809	 95.33	102	85	S	562	                Escherichia coli
SRR8360112	 95.07	212	168	S	562	                Escherichia coli
SRR8602013	 95.03	153	122	S	562	                Escherichia coli
SRR9200321	 95.00	114	88	S	562	                Escherichia coli
SRR11484664	 94.85	184	155	S	562	                Escherichia coli
SRR8541411	 94.69	214	187	S	562	                Escherichia coli
SRR7967918	 94.51	86	67	S	562	                Escherichia coli
SRR11080871	 94.49	120	94	S	562	                Escherichia coli
SRR11484688	 94.40	118	85	S	562	                Escherichia coli
SRR8541517	 94.38	84	67	S	562	                Escherichia coli
MVC513	 94.21	114	91	S	562	                Escherichia coli
SRR3345807	 94.13	609	548	S	562	                Escherichia coli
SRR958728	 94.12	128	104	S	562	                Escherichia coli
SRR8541645	 94.09	446	381	S	562	                Escherichia coli
SRR8397612	 93.90	77	53	S	562	                Escherichia coli
SRR11484738	 93.87	153	131	S	562	                Escherichia coli
SRR784018	 93.85	122	99	S	562	                Escherichia coli
SRR11484630	 93.79	151	115	S	562	                Escherichia coli
SRR8541615	 93.75	165	135	S	562	                Escherichia coli
SRR958788	 93.57	160	137	S	562	                Escherichia coli
SRR9943565	 93.53	130	98	S	562	                Escherichia coli
SRR8533810	 93.46	100	81	S	562	                Escherichia coli
SRR10286270	 93.42	71	56	S	562	                Escherichia coli
SRR3050953	 93.26	83	67	S	562	                Escherichia coli
MVC666	 93.14	95	72	S	562	                Escherichia coli
SRR8541445	 93.10	135	103	S	562	                Escherichia coli
SRR9913993	 93.04	107	84	S	562	                Escherichia coli
MVC347	 93.00	93	63	S	562	                Escherichia coli
SRR800414	 92.95	145	119	S	562	                Escherichia coli
SRR3574241	 92.86	156	117	S	562	                Escherichia coli
SRR8868851	 92.81	155	120	S	562	                Escherichia coli
MVC198	 92.77	77	57	S	562	                Escherichia coli
SRR7828688	 92.76	615	529	S	562	                Escherichia coli
SRR3987715	 92.72	140	100	S	562	                Escherichia coli
SRR7851038	 92.71	229	190	S	562	                Escherichia coli
SRR7211963	 92.67	253	203	S	562	                Escherichia coli
SRR9913887	 92.59	125	87	S	562	                Escherichia coli
SRR7304281	 92.59	125	97	S	562	                Escherichia coli
MVC386	 92.50	111	73	S	562	                Escherichia coli
SRR3581327	 92.48	123	93	S	562	                Escherichia coli
SRR7967849	 92.45	196	162	S	562	                Escherichia coli
SRR11484588	 92.45	147	122	S	562	                Escherichia coli
SRR3987645	 92.41	134	111	S	562	                Escherichia coli
SRR11484667	 92.41	146	123	S	562	                Escherichia coli
SRR8541563	 92.36	145	108	S	562	                Escherichia coli
SRR7304278	 92.36	133	108	S	562	                Escherichia coli
SRR11484420	 92.31	132	103	S	562	                Escherichia coli
SRR11410512	 92.31	96	77	S	562	                Escherichia coli
2011_89	 92.31	108	84	S	562	                Escherichia coli
MVC330	 92.25	119	94	S	562	                Escherichia coli
SRR3578642	 92.23	95	67	S	562	                Escherichia coli
SRR8541584	 92.16	94	73	S	562	                Escherichia coli
SRR9913760	 92.13	117	82	S	562	                Escherichia coli
ERR1981376	 92.03	127	108	S	562	                Escherichia coli
SRR8541389	 92.00	69	47	S	562	                Escherichia coli
SRR4263053	 92.00	138	111	S	562	                Escherichia coli
SRR7851064	 91.98	241	193	S	562	                Escherichia coli
SRR7304457	 91.95	80	59	S	562	                Escherichia coli
SRR7851004	 91.89	136	107	S	562	                Escherichia coli
SRR8397521	 91.86	79	58	S	562	                Escherichia coli
SRR11484321	 91.86	79	53	S	562	                Escherichia coli
SRR7660780	 91.85	169	95	S	562	                Escherichia coli
SRR8602131	 91.82	101	73	S	562	                Escherichia coli
2011_97	 91.82	101	76	S	562	                Escherichia coli
SRR8533717	 91.80	112	76	S	562	                Escherichia coli
SRR8541352	 91.76	156	122	S	562	                Escherichia coli
SRR7304455	 91.73	122	100	S	562	                Escherichia coli
SRR10257842	 91.71	166	120	S	562	                Escherichia coli
SRR11410526	 91.67	88	69	S	562	                Escherichia coli
SRR8767387	 91.63	208	152	S	562	                Escherichia coli
SRR8541549	 91.62	175	135	S	562	                Escherichia coli
SRR11410527	 91.58	87	66	S	562	                Escherichia coli
SRR3578806	 91.54	119	87	S	562	                Escherichia coli
SRR8663236	 91.53	270	207	S	562	                Escherichia coli
SRR8541560	 91.52	151	120	S	562	                Escherichia coli
SRR11410516	 91.49	86	66	S	562	                Escherichia coli
SRR10085551	 91.40	85	69	S	562	                Escherichia coli
SRR3136824	 91.36	74	55	S	562	                Escherichia coli
SRR3578974	 91.27	115	93	S	562	                Escherichia coli
SRR10380975	 91.25	73	52	S	562	                Escherichia coli
SRR8541509	 91.24	125	102	S	562	                Escherichia coli
SRR11484451	 91.23	104	85	S	562	                Escherichia coli
SRR8541405	 91.21	83	60	S	562	                Escherichia coli
MVC481	 91.21	83	59	S	562	                Escherichia coli
SRR11341635	 91.20	114	97	S	562	                Escherichia coli
SRR8541551	 91.19	145	115	S	562	                Escherichia coli
SRR8206953	 91.18	124	96	S	562	                Escherichia coli
SRR10126775	 91.18	124	96	S	562	                Escherichia coli
SRR7304452	 91.16	268	227	S	562	                Escherichia coli
SRR958547	 91.13	113	89	S	562	                Escherichia coli
SRR8541403	 91.08	143	105	S	562	                Escherichia coli
SRR8541582	 91.04	61	38	S	562	                Escherichia coli
SRR7660795	 90.95	181	101	S	562	                Escherichia coli
SRR785941	 90.87	189	149	S	562	                Escherichia coli
SRR9734865	 90.86	159	114	S	562	                Escherichia coli
SRR7967901	 90.85	139	117	S	562	                Escherichia coli
