name	perc_frags	num_frags	num_frags_direct	rank	ncbi_taxon_id	scientific_name
2009_46	100.00	195	3	R	1	root
2009_46	 97.95	191	0	R1	131567	  cellular organisms
2009_46	 97.95	191	1	D	2	    Bacteria
2009_46	 97.44	190	0	P	1224	      Proteobacteria
2009_46	 97.44	190	1	C	1236	        Gammaproteobacteria
2009_46	 96.92	189	4	O	91347	          Enterobacterales
2009_46	 93.85	183	17	F	543	            Enterobacteriaceae
2009_46	 84.62	165	11	G	561	              Escherichia
2009_46	 78.97	154	123	S	562	                Escherichia coli
2009_46	  3.08	6	6	S1	869729	                  Escherichia coli UM146
2009_46	  1.54	3	0	S1	83333	                  Escherichia coli K-12
2009_46	  1.54	3	0	S2	511145	                    Escherichia coli str. K-12 substr. MG1655
2009_46	  1.54	3	3	S3	879462	                      Escherichia coli str. K-12 substr. MG1655star
2009_46	  1.54	3	3	S1	1329907	                  Escherichia coli APEC IMT5155
2009_46	  1.54	3	3	S1	941280	                  Escherichia coli O25b:H4
2009_46	  1.03	2	2	S1	1050617	                  Escherichia coli UMNF18
2009_46	  1.03	2	2	S1	585397	                  Escherichia coli ED1a
2009_46	  0.51	1	1	S1	913091	                  Escherichia coli TW10598
2009_46	  0.51	1	0	S1	1603259	                  Escherichia coli O139:H28
2009_46	  0.51	1	1	S2	331111	                    Escherichia coli O139:H28 str. E24377A
2009_46	  0.51	1	1	S1	1412834	                  Escherichia coli FAP1
2009_46	  0.51	1	1	S1	1382700	                  Escherichia coli PMV-1
2009_46	  0.51	1	1	S1	930406	                  Escherichia coli O157:H16
2009_46	  0.51	1	0	S1	861906	                  Escherichia coli O44:H18
2009_46	  0.51	1	1	S2	216592	                    Escherichia coli 042
2009_46	  0.51	1	1	S1	745156	                  Escherichia coli 1303
2009_46	  0.51	1	0	S1	498388	                  Escherichia coli C
2009_46	  0.51	1	1	S2	481805	                    Escherichia coli ATCC 8739
2009_46	  0.51	1	1	S1	405955	                  Escherichia coli APEC O1
2009_46	  0.51	1	1	S1	362663	                  Escherichia coli 536
