"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"group_7428","","hypothetical protein","24","1","0","275","100.0","99.63768115942028","inf","1.4130186124970606e-34","2.5168687525797643e-30","2.5168687525797643e-30"
"group_4911","","hypothetical protein","0","272","24","4","0.0","1.4492753623188406","0.0","1.1572622436352862e-31","2.0613155083631717e-27","4.122631016726343e-28"
"group_8229","","hypothetical protein","0","272","24","4","0.0","1.4492753623188406","0.0","1.1572622436352862e-31","2.0613155083631717e-27","4.122631016726343e-28"
"hns_1","","DNA-binding protein H-NS","0","272","24","4","0.0","1.4492753623188406","0.0","1.1572622436352862e-31","2.0613155083631717e-27","4.122631016726343e-28"
"higB-2_2","","Toxin HigB-2","24","4","0","272","100.0","98.55072463768117","inf","1.1572622436352862e-31","2.0613155083631717e-27","4.122631016726343e-28"
"group_10790","","hypothetical protein","23","2","1","274","95.83333333333334","99.27536231884058","3151.0","4.664374439851679e-31","8.30818375226381e-27","1.0385229690329762e-27"
"group_1306","","hypothetical protein","23","2","1","274","95.83333333333334","99.27536231884058","3151.0","4.664374439851679e-31","8.30818375226381e-27","1.0385229690329762e-27"
"group_7427","","hypothetical protein","23","2","1","274","95.83333333333334","99.27536231884058","3151.0","4.664374439851679e-31","8.30818375226381e-27","1.0385229690329762e-27"
"group_6286","","hypothetical protein","0","271","24","5","0.0","1.8115942028985508","0.0","6.7121210130835e-31","1.195562994850433e-26","1.3284033276115923e-27"
"hcxA","","Hydroxycarboxylate dehydrogenase A","0","270","24","6","0.0","2.1739130434782608","0.0","3.356060506541521e-30","5.977814974251757e-26","4.269867838751255e-27"
"group_6287","","hypothetical protein","0","270","24","6","0.0","2.1739130434782608","0.0","3.356060506541521e-30","5.977814974251757e-26","4.269867838751255e-27"
"group_857","","hypothetical protein","0","270","24","6","0.0","2.1739130434782608","0.0","3.356060506541521e-30","5.977814974251757e-26","4.269867838751255e-27"
"group_3617","lexA_1","LexA repressor","24","6","0","270","100.0","97.82608695652173","inf","3.356060506541521e-30","5.977814974251757e-26","4.269867838751255e-27"
"group_4495","","hypothetical protein","24","6","0","270","100.0","97.82608695652173","inf","3.356060506541521e-30","5.977814974251757e-26","4.269867838751255e-27"
"group_4863","intA_1","Prophage integrase IntA","0","269","24","7","0.0","2.536231884057971","0.0","1.486255367182981e-29","2.6473180600263257e-25","1.470732255570181e-26"
"group_8514","","hypothetical protein","0","269","24","7","0.0","2.536231884057971","0.0","1.486255367182981e-29","2.6473180600263257e-25","1.470732255570181e-26"
"group_8516","","hypothetical protein","0","269","24","7","0.0","2.536231884057971","0.0","1.486255367182981e-29","2.6473180600263257e-25","1.470732255570181e-26"
"group_9597","","hypothetical protein","24","7","0","269","100.0","97.46376811594203","inf","1.486255367182981e-29","2.6473180600263257e-25","1.470732255570181e-26"
"group_4910","","hypothetical protein","0","268","24","8","0.0","2.898550724637681","0.0","5.94502146873127e-29","1.0589272240104138e-24","4.8133055636836994e-26"
"group_6603","","hypothetical protein","0","268","24","8","0.0","2.898550724637681","0.0","5.94502146873127e-29","1.0589272240104138e-24","4.8133055636836994e-26"
"group_6807","","hypothetical protein","0","268","24","8","0.0","2.898550724637681","0.0","5.94502146873127e-29","1.0589272240104138e-24","4.8133055636836994e-26"
"group_8480","","hypothetical protein","0","268","24","8","0.0","2.898550724637681","0.0","5.94502146873127e-29","1.0589272240104138e-24","4.8133055636836994e-26"
"group_3126","","hypothetical protein","23","5","1","271","95.83333333333334","98.18840579710145","1246.6","1.5120788475337093e-28","2.693314843227043e-24","1.1710064535769753e-25"
"cdiI_1","","Immunity protein CdiI","0","267","24","9","0.0","3.260869565217391","0.0","2.1798412052015216e-28","3.88273315470495e-24","1.6178054811270625e-25"
"group_300","","hypothetical protein","0","266","24","10","0.0","3.6231884057971016","0.0","7.411460097686121e-28","1.3201292725998518e-23","4.714747402142327e-25"
"group_8518","","hypothetical protein","0","266","24","10","0.0","3.6231884057971016","0.0","7.411460097686121e-28","1.3201292725998518e-23","4.714747402142327e-25"
"group_8521","","hypothetical protein","0","266","24","10","0.0","3.6231884057971016","0.0","7.411460097686121e-28","1.3201292725998518e-23","4.714747402142327e-25"
"group_1974","hcxA","Hydroxycarboxylate dehydrogenase A","24","10","0","266","100.0","96.37681159420289","inf","7.411460097686121e-28","1.3201292725998518e-23","4.714747402142327e-25"
"group_3847","","hypothetical protein","0","265","24","11","0.0","3.985507246376811","0.0","2.358191849263102e-27","4.2004113219074375e-23","1.2728519157295265e-24"
"group_3848","","hypothetical protein","0","265","24","11","0.0","3.985507246376811","0.0","2.358191849263102e-27","4.2004113219074375e-23","1.2728519157295265e-24"
"group_4086","","hypothetical protein","0","265","24","11","0.0","3.985507246376811","0.0","2.358191849263102e-27","4.2004113219074375e-23","1.2728519157295265e-24"
"group_8508","","hypothetical protein","0","265","24","11","0.0","3.985507246376811","0.0","2.358191849263102e-27","4.2004113219074375e-23","1.2728519157295265e-24"
"group_8523","","hypothetical protein","0","265","24","11","0.0","3.985507246376811","0.0","2.358191849263102e-27","4.2004113219074375e-23","1.2728519157295265e-24"
