Name,BAP_1,BAP_10,BAP_11,BAP_12,BAP_13,BAP_14,BAP_2,BAP_3,BAP_4,BAP_5,BAP_6,BAP_7,BAP_8,BAP_9
2009_46,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011_83,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011_89,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011_92,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011_97,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ERR1981376,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ERR2935427,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ERR2935619,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ERR3328492,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ERR3330570,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HOS23,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HOS35,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MVC107,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MVC198,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MVC285,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MVC295,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MVC306,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MVC32,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MVC330,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MVC347,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MVC35,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MVC386,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MVC424,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MVC481,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MVC486,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MVC513,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MVC523,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MVC524,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MVC556,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MVC599,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MVC623,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MVC666,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MVC715,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MVC746,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MVC9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR10085551,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SRR10085762,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SRR10094049,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SRR10094634,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SRR10098856,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SRR10126775,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SRR10126811,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SRR10127045,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SRR10198855,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SRR10257842,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SRR10257910,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SRR10258168,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SRR10286270,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SRR10380975,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SRR10384915,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SRR10385124,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SRR10419814,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SRR10502096,0,0,0,0,0,0,0,0,1,0,0,0,0,0
