"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"lpxD_1","","UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase","161","0","2","137","98.77300613496932","100.0","inf","3.148717147309346e-85","5.608494982787407e-81","5.608494982787407e-81"
"flhB_1","","Flagellar biosynthetic protein FlhB","160","2","3","135","98.15950920245399","98.54014598540147","3600.0","1.835215065092495e-79","3.268885073942752e-75","1.634442536971376e-75"
"group_4847","cheZ","Protein phosphatase CheZ","3","134","160","3","1.8404907975460123","2.18978102189781","0.00041977611940298507","9.755933334676433e-78","1.7377268455725662e-73","5.79242281857522e-74"
"cheZ","","Protein phosphatase CheZ","160","4","3","133","98.15950920245399","97.08029197080292","1773.3333333333333","3.9128990988723993e-76","6.969655874911518e-72","1.7424139687278794e-72"
"group_6613","","hypothetical protein","158","3","5","134","96.93251533742331","97.8102189781022","1411.4666666666667","9.017182743375386e-75","1.606140590250024e-70","3.212281180500048e-71"
"group_1337","galE_2","UDP-glucose 4-epimerase","150","1","13","136","92.02453987730061","99.27007299270073","1569.2307692307693","8.940380871733964e-69","1.5924606408732537e-64","2.6541010681220895e-65"
"kpsT","","Polysialic acid transport ATP-binding protein KpsT","162","16","1","121","99.38650306748467","88.32116788321169","1225.125","9.714222340044751e-65","1.7302972832087712e-60","2.162871604010964e-61"
"kpsM","","Polysialic acid transport protein KpsM","162","16","1","121","99.38650306748467","88.32116788321169","1225.125","9.714222340044751e-65","1.7302972832087712e-60","2.162871604010964e-61"
"glcA_1","","Glycolate permease GlcA","158","11","5","126","96.93251533742331","91.97080291970804","361.96363636363634","5.65364293841826e-64","1.0070268801910605e-59","1.118918755767845e-60"
"glcB","","Malate synthase G","160","14","3","123","98.15950920245399","89.78102189781022","468.57142857142856","1.6740635349186686e-63","2.9818419683971325e-59","2.710765425815575e-60"
