#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
MD4_E10.fasta	contig00010	77331	77529	+	pUTI89_NC_007941	61518-61716/114230	.......=/......	2/2	0.17	89.00	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00010	86984	87944	+	pUTI89_NC_007941	29149-30107/114230	...=..../......	2/2	0.84	93.65	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00010	108343	108628	-	pUTI89_NC_007941	61216-61499/114230	.......=/......	1/2	0.25	86.01	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00010	108625	108811	-	pUTI89_NC_007941	59617-59803/114230	.......=.......	0/0	0.16	89.84	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00012	150015	150127	+	pUTI89_NC_007941	14885-14997/114230	.=.............	0/0	0.10	97.34	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00016	80512	81227	+	pUTI89_NC_007941	14171-14888/114230	.=....../......	2/2	0.63	80.08	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00018	97303	97414	+	pUTI89_NC_007941	14886-14997/114230	.=.............	0/0	0.10	96.43	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00027	2944	6023	-	pUTI89_NC_007941	1-3104/114230	=......./......	18/56	2.68	91.31	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00027	6024	7931	-	pUTI89_NC_007941	112330-114230/114230	......../.....=	15/19	1.66	90.91	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00027	7974	16231	-	pUTI89_NC_007941	103117-111320/114230	......../....==	10/66	7.18	94.47	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00027	16287	17203	-	pUTI89_NC_007941	101406-102322/114230	.............=.	0/0	0.80	96.51	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00027	17813	21981	-	pUTI89_NC_007941	96601-100769/114230	......../...==.	4/12	3.64	90.52	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00027	21994	23098	-	pUTI89_NC_007941	95139-96243/114230	............=..	0/0	0.97	96.20	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00027	23166	25336	-	pUTI89_NC_007941	92631-94796/114230	......../...=..	2/5	1.90	91.98	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00027	25848	26910	-	pUTI89_NC_007941	91015-92077/114230	...........==..	0/0	0.93	95.48	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00027	26981	31890	-	pUTI89_NC_007941	85701-90609/114230	......../..==..	1/1	4.30	96.35	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00027	32022	33763	-	pUTI89_NC_007941	83964-85703/114230	......../..=...	11/20	1.52	89.83	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00027	33828	39621	-	pUTI89_NC_007941	77858-83654/114230	......../.==...	4/7	5.07	95.21	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00027	39892	42584	-	pUTI89_NC_007941	74889-77578/114230	......../.=....	2/3	2.35	97.77	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00027	42742	47984	-	pUTI89_NC_007941	69484-74739/114230	......../==....	19/57	4.57	92.59	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00027	48152	52932	-	pUTI89_NC_007941	64615-69363/114230	.......=/=.....	17/56	4.15	94.87	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00052	3894	4269	+	pUTI89_NC_007941	2721-3097/114230	=......./......	2/3	0.33	92.59	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00052	17478	18011	-	pUTI89_NC_007941	40457-40990/114230	.....=.........	0/0	0.47	98.69	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00053	3742	4279	-	pUTI89_NC_007941	40456-40985/114230	....==../......	1/8	0.46	94.98	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00053	18172	18282	-	pUTI89_NC_007941	3950-4060/114230	=..............	0/0	0.10	100.00	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00054	4689	6643	+	pUTI89_NC_007941	34871-36825/114230	....=..........	0/0	1.71	99.69	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00054	13296	15250	+	pUTI89_NC_007941	34871-36825/114230	....=..........	0/0	1.71	99.69	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00055	783	1128	-	pUTI89_NC_007941	64240-64585/114230	.......=/......	4/4	0.30	87.36	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00055	4911	5272	+	pUTI89_NC_007941	16634-16994/114230	..=...../......	1/1	0.32	99.72	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00055	10608	13599	+	pUTI89_NC_007941	44096-47051/114230	.....=../......	7/58	2.58	92.81	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00055	13619	14047	-	pUTI89_NC_007941	61292-61720/114230	........=......	0/0	0.38	99.07	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00055	14047	14221	-	pUTI89_NC_007941	59577-59752/114230	.......=/......	1/1	0.15	97.16	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00055	14213	14670	-	pUTI89_NC_007941	54613-55080/114230	......=./......	2/12	0.40	96.80	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00057	1	111	+	pUTI89_NC_007941	3950-4060/114230	=..............	0/0	0.10	100.00	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00057	6024	6283	+	pUTI89_NC_007941	50137-50396/114230	......=........	0/0	0.23	85.39	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00057	7572	8377	+	pUTI89_NC_007941	51175-51980/114230	......=./......	2/2	0.70	82.65	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00060	3122	3262	-	pUTI89_NC_007941	20824-20963/114230	..=...../......	1/1	0.12	91.49	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00060	7766	7876	-	pUTI89_NC_007941	3950-4060/114230	=..............	0/0	0.10	100.00	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00062	1	110	+	pUTI89_NC_007941	3951-4060/114230	=..............	0/0	0.10	100.00	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00063	1	172	-	pUTI89_NC_007941	3241-3412/114230	=..............	0/0	0.15	98.84	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00064	5690	5803	+	pUTI89_NC_007941	3238-3351/114230	=..............	0/0	0.10	97.37	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00069	1	110	-	pUTI89_NC_007941	3241-3350/114230	=..............	0/0	0.10	98.18	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00069	4089	4197	-	pUTI89_NC_007941	3952-4060/114230	=..............	0/0	0.10	100.00	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00075	1	110	-	pUTI89_NC_007941	3241-3350/114230	=..............	0/0	0.10	98.18	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00075	1752	1860	-	pUTI89_NC_007941	3952-4060/114230	=..............	0/0	0.10	100.00	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00079	1	110	-	pUTI89_NC_007941	3241-3350/114230	=..............	0/0	0.10	98.18	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00084	1	320	+	pUTI89_NC_007941	14889-15209/114230	.=....../......	1/1	0.28	94.39	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00091	1	759	+	pUTI89_NC_007941	3302-4060/114230	=..............	0/0	0.66	99.74	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00096	478	589	-	pUTI89_NC_007941	3952-4063/114230	=..............	0/0	0.10	99.11	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00107	1	172	-	pUTI89_NC_007941	3241-3412/114230	=..............	0/0	0.15	98.26	pUTI89		pUTI89_NC_007941	
MD4_E10.fasta	contig00115	112	221	+	pUTI89_NC_007941	3241-3350/114230	=..............	0/0	0.10	98.18	pUTI89		pUTI89_NC_007941	
