#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
2009_46.fasta	contig00001	141637	142352	-	pUTI89_NC_007941	14171-14888/114230	.=....../......	2/2	0.63	78.83	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00027	1	79	-	pUTI89_NC_007941	34872-34950/114230	....=..........	0/0	0.07	98.73	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00027	80	237	-	pUTI89_NC_007941	61216-61371/114230	.......=/......	1/2	0.14	84.81	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00027	234	422	-	pUTI89_NC_007941	59615-59803/114230	.......=.......	0/0	0.17	89.42	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00031	52454	52532	+	pUTI89_NC_007941	34872-34950/114230	....=..........	0/0	0.07	98.73	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00032	52403	52483	+	pUTI89_NC_007941	34870-34950/114230	....=..........	0/0	0.07	98.77	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00033	22469	22741	-	pUTI89_NC_007941	69959-70230/114230	......../=.....	1/1	0.24	76.19	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00034	1	79	+	pUTI89_NC_007941	36747-36825/114230	....=..........	0/0	0.07	100.00	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00044	7018	7461	-	pUTI89_NC_007941	40457-40905/114230	....==../......	4/7	0.39	90.89	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00044	8459	9190	+	pUTI89_NC_007941	60986-61720/114230	.......=/......	2/5	0.64	98.37	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00045	13116	13207	-	pUTI89_NC_007941	61625-61716/114230	........=......	0/0	0.08	100.00	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00045	27433	27643	-	pUTI89_NC_007941	37262-37472/114230	....=..........	0/0	0.18	84.36	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00046	14147	14388	-	pUTI89_NC_007941	32806-33050/114230	....=.../......	4/9	0.21	80.24	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00047	78	4816	+	pUTI89_NC_007941	96455-101193/114230	......../...==.	3/4	4.15	92.11	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00047	5014	8599	+	pUTI89_NC_007941	101396-104993/114230	......../....=.	1/12	3.14	98.11	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00047	8638	14980	+	pUTI89_NC_007941	104978-111320/114230	.............==	0/0	5.55	98.00	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00047	15023	16221	+	pUTI89_NC_007941	112330-113526/114230	......../.....=	15/26	1.04	87.04	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00047	16438	16679	+	pUTI89_NC_007941	308-550/114230	=......./......	1/1	0.21	92.18	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00047	17092	17340	+	pUTI89_NC_007941	694-936/114230	=......./......	1/6	0.21	81.53	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00047	17519	19501	+	pUTI89_NC_007941	1125-3104/114230	=......./......	7/9	1.73	93.56	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00050	10151	10379	+	pUTI89_NC_007941	2832-3093/114230	=......./......	4/35	0.20	75.28	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00050	11577	13224	+	pUTI89_NC_007941	42605-44256/114230	.....=../......	4/8	1.44	91.60	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00050	13973	16838	+	pUTI89_NC_007941	44231-47051/114230	.....=../......	3/45	2.47	93.61	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00050	16858	17286	-	pUTI89_NC_007941	61292-61720/114230	........=......	0/0	0.38	99.07	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00050	17286	17460	-	pUTI89_NC_007941	59577-59752/114230	.......=/......	1/1	0.15	97.16	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00050	17452	17909	-	pUTI89_NC_007941	54613-55080/114230	......=./......	2/12	0.40	96.80	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00051	17304	17718	+	pUTI89_NC_007941	57341-57758/114230	.......=/......	2/3	0.36	87.80	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00052	1833	2190	+	pUTI89_NC_007941	37116-37473/114230	....=..........	0/0	0.31	86.03	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00053	16675	16750	+	pUTI89_NC_007941	34872-34947/114230	....=..........	0/0	0.07	98.68	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00055	12017	13755	+	pUTI89_NC_007941	50153-51891/114230	......=./......	2/2	1.52	92.70	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00056	69	3235	-	pUTI89_NC_007941	66207-69363/114230	......../=.....	5/14	2.76	97.10	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00056	3421	7810	-	pUTI89_NC_007941	61717-66089/114230	.......=/=.....	13/37	3.82	92.77	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00056	7807	8880	-	pUTI89_NC_007941	58515-59585/114230	.......=/......	1/3	0.94	95.06	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00058	235	11162	+	pUTI89_NC_007941	3912-14789/114230	==....../......	2/52	9.52	99.39	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00058	11159	11241	-	pUTI89_NC_007941	3982-4064/114230	=..............	0/0	0.07	98.80	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00060	1374	1552	+	pUTI89_NC_007941	40457-40636/114230	....=.../......	1/1	0.16	82.78	pUTI89		pUTI89_NC_007941	
2009_46.fasta	contig00063	1	79	-	pUTI89_NC_007941	34871-34949/114230	....=..........	0/0	0.07	98.73	pUTI89		pUTI89_NC_007941	
