#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
MD4_G10.fasta	contig00009	150015	150127	+	pUTI89_NC_007941	14885-14997/114230	.=.............	0/0	0.10	97.34	pUTI89		pUTI89_NC_007941	
MD4_G10.fasta	contig00013	28212	28927	-	pUTI89_NC_007941	14171-14888/114230	.=....../......	2/2	0.63	80.08	pUTI89		pUTI89_NC_007941	
MD4_G10.fasta	contig00014	1	1994	-	pUTI89_NC_007941	64615-66586/114230	.......=/=.....	10/32	1.72	91.95	pUTI89		pUTI89_NC_007941	
MD4_G10.fasta	contig00014	4450	4795	-	pUTI89_NC_007941	64240-64585/114230	.......=/......	4/4	0.30	87.36	pUTI89		pUTI89_NC_007941	
MD4_G10.fasta	contig00018	1	111	-	pUTI89_NC_007941	40457-40567/114230	.....=.........	0/0	0.10	99.10	pUTI89		pUTI89_NC_007941	
MD4_G10.fasta	contig00018	7374	8334	-	pUTI89_NC_007941	29149-30107/114230	...=..../......	2/2	0.84	93.65	pUTI89		pUTI89_NC_007941	
MD4_G10.fasta	contig00018	17789	17987	-	pUTI89_NC_007941	61518-61716/114230	.......=/......	2/2	0.17	89.00	pUTI89		pUTI89_NC_007941	
MD4_G10.fasta	contig00021	308	4997	+	pUTI89_NC_007941	85920-90609/114230	...........=...	0/0	4.11	97.31	pUTI89		pUTI89_NC_007941	
MD4_G10.fasta	contig00021	5068	6130	+	pUTI89_NC_007941	91015-92077/114230	...........==..	0/0	0.93	95.39	pUTI89		pUTI89_NC_007941	
MD4_G10.fasta	contig00021	6642	8812	+	pUTI89_NC_007941	92631-94796/114230	......../...=..	2/5	1.90	92.03	pUTI89		pUTI89_NC_007941	
MD4_G10.fasta	contig00021	8880	9984	+	pUTI89_NC_007941	95139-96243/114230	............=..	0/0	0.97	97.56	pUTI89		pUTI89_NC_007941	
MD4_G10.fasta	contig00021	9997	24764	+	pUTI89_NC_007941	96601-111320/114230	......../...===	10/64	12.88	95.32	pUTI89		pUTI89_NC_007941	
