#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
SRR7304455.fasta	contig00002	1	71	+	pUTI89_NC_007941	36755-36825/114230	....=..........	0/0	0.06	100.00	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00002	142189	142904	-	pUTI89_NC_007941	14171-14888/114230	.=....../......	2/2	0.63	78.83	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00014	117934	118334	-	pUTI89_NC_007941	40500-40905/114230	....==../......	4/7	0.35	93.12	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00014	118386	118484	+	pUTI89_NC_007941	27240-27338/114230	...=...........	0/0	0.09	92.93	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00014	119232	119839	+	pUTI89_NC_007941	34871-35478/114230	....=..........	0/0	0.53	99.01	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00016	1	71	-	pUTI89_NC_007941	34872-34942/114230	....=..........	0/0	0.06	98.59	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00017	22213	22485	-	pUTI89_NC_007941	69959-70230/114230	......../=.....	1/1	0.24	76.19	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00018	1	140	+	pUTI89_NC_007941	40847-40986/114230	.....=.........	0/0	0.12	97.86	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00019	1	73	-	pUTI89_NC_007941	34869-34941/114230	....=..........	0/0	0.06	98.63	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00021	1	71	-	pUTI89_NC_007941	34870-34940/114230	....=..........	0/0	0.06	98.59	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00022	1	70	+	pUTI89_NC_007941	36756-36825/114230	....=..........	0/0	0.06	100.00	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00023	1	83	+	pUTI89_NC_007941	69883-69962/114230	......../=.....	1/3	0.07	95.18	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00023	370	2244	+	pUTI89_NC_007941	75644-77516/114230	......../.=....	3/4	1.64	93.12	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00023	2626	3122	+	pUTI89_NC_007941	77908-78411/114230	......../.=....	3/11	0.43	80.83	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00023	4110	8556	+	pUTI89_NC_007941	79223-83670/114230	......../.==...	14/41	3.88	93.71	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00023	8605	9871	+	pUTI89_NC_007941	83964-85227/114230	......../..=...	10/19	1.10	88.00	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00023	9867	15909	+	pUTI89_NC_007941	84820-90862/114230	......../..==..	11/20	5.28	96.71	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00023	16601	17199	+	pUTI89_NC_007941	90955-91553/114230	......../...=..	2/2	0.52	86.00	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00023	18051	27660	+	pUTI89_NC_007941	91590-101199/114230	......../...==.	4/18	8.40	95.95	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00023	27852	31449	+	pUTI89_NC_007941	101396-104993/114230	.............=.	0/0	3.15	98.83	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00023	31488	37830	+	pUTI89_NC_007941	104978-111320/114230	......../....==	5/8	5.55	97.01	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00023	37873	38415	+	pUTI89_NC_007941	112330-112872/114230	..............=	0/0	0.48	86.56	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00023	39529	39985	+	pUTI89_NC_007941	113467-113923/114230	..............=	0/0	0.40	83.59	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00023	40483	40557	+	pUTI89_NC_007941	588-662/114230	=..............	0/0	0.07	94.67	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00023	41572	43919	+	pUTI89_NC_007941	694-3043/114230	=......./......	20/44	2.04	90.97	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00025	1	71	-	pUTI89_NC_007941	34872-34942/114230	....=..........	0/0	0.06	98.59	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00025	72	229	-	pUTI89_NC_007941	61216-61371/114230	.......=/......	1/2	0.14	84.81	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00025	226	414	-	pUTI89_NC_007941	59615-59803/114230	.......=.......	0/0	0.17	89.42	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00028	1	70	-	pUTI89_NC_007941	35409-35478/114230	....=..........	0/0	0.06	98.57	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00028	1997	4875	+	pUTI89_NC_007941	37478-40345/114230	....=.../......	2/13	2.51	96.35	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00031	27095	27452	-	pUTI89_NC_007941	37116-37473/114230	....=..........	0/0	0.31	86.03	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00034	1	6096	+	pUTI89_NC_007941	40847-46942/114230	.....==........	0/0	5.34	99.80	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00034	11326	11756	+	pUTI89_NC_007941	58993-59424/114230	.......=/......	1/1	0.38	90.28	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00034	11750	19451	+	pUTI89_NC_007941	61755-69453/114230	.......=/=.....	9/13	6.74	94.49	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00035	1	72	-	pUTI89_NC_007941	40456-40527/114230	.....=.........	0/0	0.06	100.00	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00037	1	74	-	pUTI89_NC_007941	40454-40527/114230	.....=.........	0/0	0.06	98.65	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00037	2777	2868	-	pUTI89_NC_007941	61625-61716/114230	........=......	0/0	0.08	100.00	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00037	17094	17304	-	pUTI89_NC_007941	37262-37472/114230	....=..........	0/0	0.18	84.36	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00038	1509	11935	-	pUTI89_NC_007941	4782-15209/114230	==....../......	1/1	9.13	99.97	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00038	12043	12862	+	pUTI89_NC_007941	3241-4060/114230	=..............	0/0	0.72	99.63	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00038	13166	13306	+	pUTI89_NC_007941	20824-20963/114230	..=...../......	1/1	0.12	94.33	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00038	13308	13384	-	pUTI89_NC_007941	3101-3177/114230	=..............	0/0	0.07	94.81	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00038	17881	18208	-	pUTI89_NC_007941	26911-27238/114230	...=...........	0/0	0.29	99.69	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00039	1	68	-	pUTI89_NC_007941	34872-34939/114230	....=..........	0/0	0.06	98.53	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00040	3293	3534	+	pUTI89_NC_007941	32806-33050/114230	....=.../......	4/9	0.21	80.24	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00042	1	163	+	pUTI89_NC_007941	32664-32826/114230	....=..........	0/0	0.14	100.00	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00042	1294	3075	+	pUTI89_NC_007941	33080-34871/114230	....=.../......	1/10	1.56	95.31	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00042	3070	3716	+	pUTI89_NC_007941	36826-37472/114230	....=..........	0/0	0.57	99.38	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00042	5536	5789	+	pUTI89_NC_007941	2841-3098/114230	=......./......	3/6	0.22	90.73	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00044	10812	10881	+	pUTI89_NC_007941	40457-40526/114230	.....=.........	0/0	0.06	100.00	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00045	1	71	+	pUTI89_NC_007941	36755-36825/114230	....=..........	0/0	0.06	100.00	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00045	720	1013	-	pUTI89_NC_007941	33558-33851/114230	....=.../......	4/4	0.26	75.00	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00047	1	10211	-	pUTI89_NC_007941	16772-26981/114230	..==..../......	1/1	8.94	99.86	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00048	1291	1469	+	pUTI89_NC_007941	40457-40636/114230	....=.../......	1/1	0.16	83.33	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00049	1	2938	-	pUTI89_NC_007941	27238-30175/114230	...=...........	0/0	2.57	100.00	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00049	2939	3288	+	pUTI89_NC_007941	61367-61716/114230	........=......	0/0	0.31	100.00	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00049	3289	3371	-	pUTI89_NC_007941	33045-33127/114230	....=..........	0/0	0.07	98.80	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00051	236	650	-	pUTI89_NC_007941	57341-57758/114230	.......=/......	2/3	0.36	87.80	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00051	7321	7391	+	pUTI89_NC_007941	40457-40527/114230	.....=.........	0/0	0.06	100.00	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00056	1	70	+	pUTI89_NC_007941	36756-36825/114230	....=..........	0/0	0.06	100.00	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00056	68	203	+	pUTI89_NC_007941	61364-61499/114230	........=......	0/0	0.12	91.91	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00057	5541	5612	-	pUTI89_NC_007941	36755-36826/114230	....=..........	0/0	0.06	100.00	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00059	1	4985	-	pUTI89_NC_007941	69883-74857/114230	......../==....	16/58	4.33	93.33	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00063	1	832	+	pUTI89_NC_007941	16159-16990/114230	..=............	0/0	0.73	95.43	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00063	3557	3626	-	pUTI89_NC_007941	36756-36825/114230	....=..........	0/0	0.06	100.00	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00070	1	2310	+	pUTI89_NC_007941	30425-32734/114230	...==..........	0/0	2.02	99.96	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00080	2	1418	+	pUTI89_NC_007941	35409-36825/114230	....=..........	0/0	1.24	99.58	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00083	1045	1113	-	pUTI89_NC_007941	36757-36825/114230	....=..........	0/0	0.06	100.00	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00099	1	509	-	pUTI89_NC_007941	16149-16657/114230	..=............	0/0	0.45	95.28	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00104	1	461	+	pUTI89_NC_007941	40457-40917/114230	.....=.........	0/0	0.40	97.83	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00108	1	391	-	pUTI89_NC_007941	16149-16539/114230	..=............	0/0	0.34	100.00	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00111	1	327	+	pUTI89_NC_007941	32724-33050/114230	....=..........	0/0	0.29	96.94	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00118	1	327	+	pUTI89_NC_007941	32724-33050/114230	....=..........	0/0	0.29	90.52	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00122	1	323	-	pUTI89_NC_007941	74821-75144/114230	......../.=....	1/1	0.28	94.14	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00130	1	97	-	pUTI89_NC_007941	26885-26981/114230	...=...........	0/0	0.08	96.91	pUTI89		pUTI89_NC_007941	
SRR7304455.fasta	contig00130	57	269	-	pUTI89_NC_007941	3028-3240/114230	=..............	0/0	0.19	95.78	pUTI89		pUTI89_NC_007941	
