#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
HOS23.fasta	contig00001	1	79	+	pUTI89_NC_007941	36747-36825/114230	....=..........	0/0	0.07	100.00	pUTI89		pUTI89_NC_007941	
HOS23.fasta	contig00006	1	618	-	pUTI89_NC_007941	34869-35486/114230	....=..........	0/0	0.54	98.87	pUTI89		pUTI89_NC_007941	
HOS23.fasta	contig00006	1072	1282	-	pUTI89_NC_007941	37262-37472/114230	....=..........	0/0	0.18	84.36	pUTI89		pUTI89_NC_007941	
HOS23.fasta	contig00011	160662	161377	-	pUTI89_NC_007941	14171-14888/114230	.=....../......	2/2	0.63	78.83	pUTI89		pUTI89_NC_007941	
HOS23.fasta	contig00011	188618	188696	+	pUTI89_NC_007941	34872-34950/114230	....=..........	0/0	0.07	98.73	pUTI89		pUTI89_NC_007941	
HOS23.fasta	contig00012	4355	5001	-	pUTI89_NC_007941	36826-37472/114230	....=..........	0/0	0.57	84.85	pUTI89		pUTI89_NC_007941	
HOS23.fasta	contig00012	4996	6410	-	pUTI89_NC_007941	33430-34871/114230	....=.../......	9/29	1.24	83.30	pUTI89		pUTI89_NC_007941	
HOS23.fasta	contig00014	117402	117802	-	pUTI89_NC_007941	40500-40905/114230	....==../......	4/7	0.35	93.12	pUTI89		pUTI89_NC_007941	
HOS23.fasta	contig00014	117854	117952	+	pUTI89_NC_007941	27240-27338/114230	...=...........	0/0	0.09	92.93	pUTI89		pUTI89_NC_007941	
HOS23.fasta	contig00014	121420	122214	-	pUTI89_NC_007941	16196-16990/114230	..=............	0/0	0.70	95.22	pUTI89		pUTI89_NC_007941	
HOS23.fasta	contig00014	122206	122546	+	pUTI89_NC_007941	32710-33050/114230	....=.../......	2/2	0.30	90.35	pUTI89		pUTI89_NC_007941	
HOS23.fasta	contig00014	136727	136968	-	pUTI89_NC_007941	32806-33050/114230	....=.../......	4/9	0.21	80.24	pUTI89		pUTI89_NC_007941	
HOS23.fasta	contig00016	108045	108120	+	pUTI89_NC_007941	34872-34947/114230	....=..........	0/0	0.07	98.68	pUTI89		pUTI89_NC_007941	
HOS23.fasta	contig00017	22581	22853	-	pUTI89_NC_007941	69959-70230/114230	......../=.....	1/1	0.24	76.19	pUTI89		pUTI89_NC_007941	
