name	pMLST_scheme	pMLST
SRR1610067	IncA/C PMLST	3
SRR6701896	IncA/C PMLST	3
2009_46	IncF RST	F-:A1:B1
2011_83	IncF RST	F51:A-:B10
2011_89	IncF RST	F51:A-:B10
2011_92	IncF RST	F29:A-:B10
2011_97	IncF RST	F51:A-:B10
ERR1981376	IncF RST	F-:A-:B-
ERR2935427	IncF RST	F-:A-:B-
ERR2935619	IncF RST	F-:A-:B-
ERR3328492	IncF RST	F-:A-:B-
ERR3330570	IncF RST	F-:A-:B-
HOS23	IncF RST	F-:A-:B1
HOS35	IncF RST	F52:A-:B10
MD4_E10	IncF RST	F24:A-:B1
MD4_G10	IncF RST	F76:A-:B1
MVC198	IncF RST	F-:A-:B-
MVC285	IncF RST	F29:A-:B10
MVC295	IncF RST	F52:A-:B24
MVC306	IncF RST	F52:A-:B24
MVC32	IncF RST	F-:A-:B-
MVC330	IncF RST	F-:A-:B-
MVC347	IncF RST	F-:A-:B-
MVC35	IncF RST	F-:A-:B-
MVC386	IncF RST	F2:A-:B-
MVC424	IncF RST	F-:A-:B-
MVC481	IncF RST	F-:A-:B-
MVC486	IncF RST	F-:A-:B-
MVC513	IncF RST	F-:A-:B-
MVC523	IncF RST	F-:A-:B-
MVC524	IncF RST	F-:A-:B-
MVC556	IncF RST	F52:A-:B10
MVC599	IncF RST	F2:A-:B-
MVC623	IncF RST	F-:A-:B1
MVC666	IncF RST	F29:A-:B10
MVC715	IncF RST	F-:A-:B-
MVC746	IncF RST	F1:A-:B49
MVC9	IncF RST	F-:A-:B-
SRR10085551	IncF RST	F29:A-:B10
SRR10085762	IncF RST	F-:A-:B-
SRR10094049	IncF RST	F29:A-:B10
SRR10094634	IncF RST	F51:A-:B10
SRR10098856	IncF RST	F2:A-:B-
SRR10126775	IncF RST	F29:A-:B10
SRR10126811	IncF RST	F29:A-:B10
SRR10127045	IncF RST	F29:A-:B10
SRR10198855	IncF RST	F-:A-:B-
SRR10257842	IncF RST	F43:A-:B-
SRR10257910	IncF RST	F-:A-:B-
SRR10258168	IncF RST	F2:A-:B10
SRR10286270	IncF RST	F-:A-:B-
SRR10380975	IncF RST	F29:A-:B10
SRR10384915	IncF RST	F29:A-:B10
SRR10385124	IncF RST	F-:A-:B-
SRR10419814	IncF RST	F29:A-:B10
SRR10502096	IncF RST	F29:A-:B10
SRR10535869	IncF RST	F29:A-:B10
SRR10810139	IncF RST	F29:A-:B10
SRR10810359	IncF RST	F29:A-:B10
SRR10947498	IncF RST	F-:A-:B-
SRR11014951	IncF RST	F-:A-:B-
SRR11014952	IncF RST	F-:A-:B-
SRR11014953	IncF RST	F-:A-:B-
SRR11014954	IncF RST	F-:A-:B-
SRR11014955	IncF RST	F-:A-:B-
SRR11029659	IncF RST	F29:A-:B10
SRR11031167	IncF RST	F29:A-:B10
SRR11080871	IncF RST	F2:A-:B-
SRR11094157	IncF RST	F-:A-:B-
SRR11101180	IncF RST	F29:A-:B-
SRR11281512	IncF RST	F29:A-:B10
SRR11281536	IncF RST	F51:A-:B10
SRR11319484	IncF RST	F29:A-:B10
SRR11319493	IncF RST	F51:A-:B-
SRR11341635	IncF RST	F-:A-:B-
SRR11354616	IncF RST	F52:A-:B24
SRR11410512	IncF RST	F-:A-:B-
SRR11410516	IncF RST	F-:A-:B-
SRR11410518	IncF RST	F-:A-:B-
SRR11410526	IncF RST	F-:A-:B-
SRR11410527	IncF RST	F-:A-:B-
SRR11443130	IncF RST	F2:A-:B-
SRR11484320	IncF RST	F-:A-:B-
SRR11484321	IncF RST	F-:A-:B-
SRR11484381	IncF RST	F-:A-:B-
SRR11484420	IncF RST	F-:A-:B-
SRR11484451	IncF RST	F-:A-:B-
SRR11484511	IncF RST	F29:A8:B10
SRR11484521	IncF RST	F43:A-:B-
SRR11484588	IncF RST	F-:A-:B-
SRR11484630	IncF RST	F29:A-:B10
SRR11484637	IncF RST	F2:A-:B-
SRR11484664	IncF RST	F-:A-:B-
SRR11484667	IncF RST	F40:A-:B-
SRR11484688	IncF RST	F43:A-:B-
SRR11484689	IncF RST	F29:A-:B10
SRR11484738	IncF RST	F-:A-:B-
SRR11484745	IncF RST	F29:A-:B10
SRR11484776	IncF RST	F24:A-:B-
SRR11487790	IncF RST	F29:A-:B10
SRR11487860	IncF RST	F29:A-:B10
SRR11594617	IncF RST	F-:A-:B-
SRR1231704	IncF RST	F-:A1:B1
SRR1314338	IncF RST	F51:A-:B10
SRR1314351	IncF RST	F29:A-:B10
SRR1314354	IncF RST	F29:A-:B10
SRR1314357	IncF RST	F29:A-:B10
SRR1314374	IncF RST	F29:A-:B10
SRR1314380	IncF RST	F29:A-:B10
SRR1314392	IncF RST	F29:A-:B10
SRR1314407	IncF RST	F-:A-:B-
SRR1314451	IncF RST	F-:A-:B-
SRR1314452	IncF RST	F2:A-:B-
SRR1314454	IncF RST	F-:A-:B-
SRR1314529	IncF RST	F1:A1:B20
SRR1314578	IncF RST	F29:A-:B10
SRR1314582	IncF RST	F-:A-:B-
SRR1314590	IncF RST	F2:A-:B-
SRR1610067	IncF RST	F43:A-:B-
SRR3050953	IncF RST	F-:A-:B-
SRR3051010	IncF RST	F29:A-:B10
SRR3098794	IncF RST	F29:A-:B10
SRR3098915	IncF RST	F-:A-:B49
SRR3098923	IncF RST	F29:A-:B10
SRR3136824	IncF RST	F-:A-:B-
SRR3178418	IncF RST	F29:A-:B10
SRR3221963	IncF RST	F29:A-:B10
SRR3345807	IncF RST	F29:A-:B10
SRR3465509	IncF RST	F1:A1:B1
SRR3545384	IncF RST	F29:A-:B10
SRR3574241	IncF RST	F-:A-:B-
SRR3578629	IncF RST	F1:A1:B23
SRR3578642	IncF RST	F95:A-:B24
SRR3578806	IncF RST	F29:A-:B10
SRR3578974	IncF RST	F52:A-:B24
SRR3581327	IncF RST	F29:A-:B10
SRR3987643	IncF RST	F29:A-:B10
SRR3987645	IncF RST	F29:A-:B10
SRR3987715	IncF RST	F4:A-:B-
SRR3988040	IncF RST	F29:A-:B10
SRR3993809	IncF RST	F-:A-:B-
SRR3993865	IncF RST	F-:A-:B-
SRR4067488	IncF RST	F29:A-:B10
SRR4184853	IncF RST	F1:A-:B23
SRR4263053	IncF RST	F40:A-:B-
SRR5017485	IncF RST	F51:A-:B10
SRR5336297	IncF RST	F-:A-:B-
SRR5928752	IncF RST	F29:A-:B10
SRR6161046	IncF RST	F-:A-:B-
SRR6463486	IncF RST	F51:A-:B10
SRR6701896	IncF RST	F1:A-:B54
SRR6742588	IncF RST	F29:A-:B10
SRR6761140	IncF RST	F29:A-:B10
SRR6902707	IncF RST	F29:A-:B10
SRR6930493	IncF RST	F29:A-:B10
SRR6930872	IncF RST	F29:A-:B10
SRR6978939	IncF RST	F29:A-:B10
SRR7064469	IncF RST	F43:A-:B-
SRR7064605	IncF RST	F29:A8:B10
SRR7209046	IncF RST	F51:A-:B10
SRR7211957	IncF RST	F29:A-:B10
SRR7211963	IncF RST	F29:A-:B10
SRR7211968	IncF RST	F29:A-:B10
SRR7221255	IncF RST	F1:A1:B23
SRR7236573	IncF RST	F1:A-:B33
SRR7283674	IncF RST	F51:A-:B10
SRR7304275	IncF RST	F29:A-:B10
SRR7304278	IncF RST	F-:A-:B-
SRR7304279	IncF RST	F29:A-:B10
SRR7304280	IncF RST	F2:A-:B10
SRR7304281	IncF RST	F34:A-:B-
SRR7304452	IncF RST	F-:A-:B-
SRR7304453	IncF RST	F29:A-:B10
SRR7304454	IncF RST	F29:A-:B10
SRR7304455	IncF RST	F51:A-:B10
SRR7304456	IncF RST	F-:A-:B-
SRR7304457	IncF RST	F-:A-:B-
SRR7304461	IncF RST	F40:A-:B-
SRR7427138	IncF RST	F-:A-:B-
SRR7427254	IncF RST	F-:A-:B-
SRR7659811	IncF RST	F1:A-:B49
SRR7660780	IncF RST	F-:A-:B-
SRR7660795	IncF RST	F-:A-:B-
SRR7690509	IncF RST	F2:A-:B-
SRR770080	IncF RST	F29:A-:B10
SRR7786654	IncF RST	F29:A-:B10
SRR7788262	IncF RST	F-:A-:B-
SRR7828688	IncF RST	F29:A-:B10
SRR784018	IncF RST	F-:A-:B-
SRR784477	IncF RST	F-:A-:B-
SRR7850962	IncF RST	F95:A-:B24
SRR7851004	IncF RST	F-:A-:B-
SRR7851038	IncF RST	F52:A-:B24
SRR7851039	IncF RST	F29:A-:B10
