name	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
2009_46	5097390	195	26140.46	418799	201	0	0	132117	12	74921	22	29698	43
2011_83	5132120	129	39783.88	772008	201	0	0	216916	7	97974	15	38752	29
2011_89	5121553	117	43773.96	459241	201	0	0	190616	9	96939	18	41362	31
2011_92	5159316	134	38502.36	760885	213	0	0	227767	7	132074	12	36146	27
2011_97	5119869	110	46544.26	536765	275	0	0	238029	8	110569	15	41006	30
ERR1981376	5134666	138	37207.72	545078	203	0	0	278762	7	173726	12	29935	25
ERR2935427	4914555	149	32983.59	302298	68	0	0	193360	11	110427	18	38170	31
ERR2935619	5051992	193	26176.12	440588	68	0	0	263104	8	110427	15	36308	30
ERR3328492	5107909	132	38696.28	523149	205	0	0	170568	10	113555	17	32907	35
ERR3330570	5189946	110	47181.33	746237	206	0	0	215138	7	143787	13	34634	26
HOS23	5140498	117	43935.88	619838	213	0	0	214824	8	139432	14	39786	26
HOS35	5093803	196	25988.79	358767	213	0	0	147782	12	97870	20	32529	39
MD4_E10	5027651	118	42607.21	388646	201	0	0	158815	11	92108	19	31042	39
MD4_G10	5047837	126	40062.20	554708	203	0	0	135405	11	90700	20	31042	39
MVC198	5168578	83	62272.02	735200	210	0	0	284162	6	147972	11	53515	21
MVC285	5170289	103	50196.98	781363	205	0	0	262821	7	137752	12	56304	23
MVC295	5171817	104	49729.01	749617	205	0	0	296365	6	197293	10	52546	19
MVC306	5145893	109	47210.03	749617	207	0	0	268730	6	177335	11	41426	22
MVC32	5009826	96	52185.69	761045	205	0	0	272308	6	197293	10	52547	19
MVC330	5044172	129	39102.11	568509	205	0	0	217380	9	144888	14	51598	25
MVC347	5040036	100	50400.36	761046	222	0	0	272308	6	208379	10	52547	19
MVC35	5010810	104	48180.87	760944	205	0	0	262967	7	173351	11	52547	20
MVC386	5200826	120	43340.22	562088	204	0	0	215098	7	132438	13	36153	27
MVC424	5317013	117	45444.56	597089	207	0	0	262890	7	151273	12	39094	26
MVC481	5041330	91	55399.23	411379	217	0	0	197293	9	110633	16	38917	29
MVC486	5153855	124	41563.35	381730	205	0	0	217327	9	132475	14	38816	27
MVC513	5088476	121	42053.52	568556	205	0	0	262906	7	132475	13	41259	25
MVC523	5127988	122	42032.69	556805	212	0	0	272259	7	197293	11	36568	24
MVC524	5128309	133	38558.71	580379	212	0	0	249921	7	132475	13	37012	28
MVC556	5077265	130	39055.88	550329	207	0	0	285432	7	127089	12	38916	24
MVC599	5104197	123	41497.54	747526	205	0	0	268879	6	110633	13	41426	26
MVC623	5197391	129	40289.85	610576	200	0	0	234312	8	143416	13	31757	28
MVC666	5195142	102	50932.76	775569	209	0	0	278868	6	132475	11	36427	26
MVC715	5203565	140	37168.32	783315	202	0	0	217000	7	110633	13	34634	29
MVC746	5110924	124	41217.13	785935	205	0	0	266468	7	184086	12	37330	26
MVC9	5135871	180	28532.62	554563	206	0	0	309276	7	103336	14	37004	29
SRR10085551	5185913	93	55762.51	785896	239	0	0	279151	6	197325	10	41458	20
SRR10085762	5113914	118	43338.25	750486	201	0	0	272349	6	137101	11	41458	21
SRR10094049	5160935	104	49624.38	641354	237	0	0	197325	8	121157	14	53547	26
SRR10094634	5285315	163	32425.25	524478	248	0	0	172723	10	86735	19	29983	42
SRR10098856	5240278	158	33166.32	540371	202	0	0	178402	10	99178	18	29983	39
SRR10126775	5284869	136	38859.33	639977	203	0	0	262739	7	86682	15	29911	36
SRR10126811	5229521	128	40855.63	354758	207	0	0	152132	11	86722	20	31297	41
SRR10127045	5225533	136	38423.04	639755	203	0	0	175221	9	101017	18	28802	37
SRR10198855	4996370	171	29218.54	476165	201	0	0	195085	8	99416	16	30862	32
SRR10257842	5226993	181	28878.41	212116	202	0	0	86235	20	52449	38	16530	72
SRR10257910	5094194	161	31640.96	477363	237	0	0	135290	11	90576	20	21431	46
SRR10258168	5094849	63	80870.62	747456	202	0	0	343515	5	252876	9	61124	17
SRR10286270	5024167	76	66107.46	771461	214	0	0	272500	6	197403	10	41458	20
SRR10380975	5161044	80	64513.05	741524	219	0	0	279153	6	197325	10	38949	21
SRR10384915	5234210	159	32919.56	500623	202	0	0	236741	8	132507	14	29983	32
SRR10385124	5245996	135	38859.23	566391	202	0	0	253391	7	112523	13	32998	28
SRR10419814	5084990	83	61264.94	773909	209	0	0	271681	6	141250	11	52755	22
SRR10502096	5168440	142	36397.46	337473	211	0	0	106843	14	61973	27	24135	53
SRR10535869	5226470	106	49306.32	775259	202	0	0	257477	7	110866	14	34889	27
SRR10810139	5166486	122	42348.25	447898	202	0	0	173702	11	101516	19	29983	39
SRR10810359	5162722	114	45287.04	754985	201	0	0	192291	8	102555	16	31920	35
SRR10947498	5036316	128	39346.22	555797	201	0	0	332105	6	144834	11	36185	23
SRR11014951	5439598	128	42496.86	399431	203	0	0	182403	10	95124	18	34236	34
SRR11014952	5436073	126	43143.44	581293	203	0	0	284974	7	144727	12	37053	26
SRR11014953	5435794	123	44193.45	540470	209	0	0	278934	8	149643	13	36241	26
SRR11014954	5769779	131	44044.11	663222	209	0	0	284974	7	149643	13	36313	29
SRR11014955	5437435	148	36739.43	478908	203	0	0	200714	8	98129	16	36241	32
SRR11029659	5255664	120	43797.20	750397	202	0	0	263083	6	132507	12	34661	25
SRR11031167	5345075	128	41758.40	802961	200	0	0	271659	6	131826	12	38848	23
SRR11080871	5137350	127	40451.57	652343	237	0	0	181807	9	89339	19	31923	39
SRR11094157	4972472	104	47812.23	1002349	210	0	0	331353	5	132423	9	52591	21
SRR11101180	5286618	170	31097.75	334045	202	0	0	115240	14	69545	25	21498	52
SRR11281512	5125658	66	77661.48	781363	205	0	0	334695	5	245561	9	98473	16
SRR11281536	5221660	114	45804.04	776039	207	0	0	291517	6	196733	10	53262	21
SRR11319484	5133740	96	53476.46	1043479	202	0	0	219726	6	132507	12	41458	25
SRR11319493	5308308	116	45761.28	706890	202	0	0	334716	6	197274	10	41458	22
SRR11341635	5216211	125	41729.69	767592	200	0	0	197319	7	131012	13	34064	28
SRR11354616	5223720	190	27493.26	656146	202	0	0	296247	6	189335	11	31059	26
SRR11410512	5128896	104	49316.31	770137	202	0	0	271752	7	197293	11	41426	23
SRR11410516	5105015	94	54308.67	770232	207	0	0	271752	7	212597	11	50623	22
SRR11410518	5126086	99	51778.65	770137	202	0	0	263176	7	178963	11	41426	22
SRR11410526	5127155	96	53407.86	770137	202	0	0	264968	7	197293	11	41259	23
SRR11410527	5127563	95	53974.35	770137	207	0	0	264968	7	192426	12	50594	23
SRR11443130	5237577	99	52904.82	822596	219	0	0	263082	6	132659	11	36208	24
SRR11484320	5047151	119	42413.03	402390	203	0	0	169689	10	84251	19	29919	40
SRR11484321	5065137	86	58896.94	507900	214	0	0	291653	7	132084	12	41703	25
SRR11484381	4830342	119	40591.11	254132	203	0	0	98184	15	60987	26	31596	47
